Column1,name,W_L_pct,W_L_pct/games,team,position,game_%,games,AB,R,H,doubles,triples,HR,RBI,walks,strike_outs,stolen_bases,caught_stealing_base,AVG,OBP,SLG,OPS
414," Beckham, T",0.29,0.1719,BAL,3B,0.593,96,369,45,85,17,0,12,35,27,100,1,2,0.23,0.287,0.374,0.661
417," Andreoli, J",0.29,0.0465,BAL,RF,0.160,26,61,4,14,2,0,0,4,5,19,2,0,0.23,0.284,0.262,0.546
451," Joseph, C",0.29,0.0251,BAL,2B,0.086,14,18,1,4,1,0,0,3,1,5,0,0,0.222,0.263,0.278,0.541
465," Joseph, C",0.29,0.1468,BAL,C,0.506,82,265,28,58,14,2,3,17,10,68,2,1,0.219,0.254,0.321,0.575
530," Bundy, D",0.29,0.0036,BAL,P,0.012,2,5,1,1,0,0,0,0,0,2,0,0,0.2,0.2,0.2,0.4
540," Peterson, J",0.29,0.1719,BAL,3B,0.593,96,210,21,42,13,2,3,28,31,58,13,3,0.2,0.31,0.324,0.634
551," Santander, A",0.29,0.0591,BAL,LF,0.204,33,101,8,20,5,1,1,6,6,21,1,0,0.198,0.25,0.297,0.547
587," Sisco, C",0.29,0.1128,BAL,C,0.389,63,160,13,29,8,0,2,16,13,66,1,0,0.181,0.288,0.269,0.557
589," Alvarez, P",0.29,0.0806,BAL,3B,0.278,45,111,18,20,2,0,8,18,16,36,0,0,0.18,0.283,0.414,0.698
608," Wilkerson, S",0.29,0.0286,BAL,2B,0.099,16,46,2,8,3,0,0,3,3,16,1,0,0.174,0.224,0.239,0.464
614," Davis, C",0.29,0.2291,BAL,1B,0.790,128,470,40,79,12,0,16,49,41,192,2,0,0.168,0.243,0.296,0.539
618," Cobb, A",0.29,0.0054,BAL,P,0.019,3,6,0,1,0,0,0,0,0,2,0,0,0.167,0.167,0.167,0.333
667," Vielma, E",0.29,0.0107,BAL,SS,0.037,6,7,1,1,0,0,0,0,1,4,0,0,0.143,0.25,0.143,0.393
676," Rasmus, C",0.29,0.0322,BAL,RF,0.111,18,45,5,6,1,0,1,1,3,19,0,0,0.133,0.204,0.222,0.426
695," Susac, A",0.29,0.0161,BAL,C,0.056,9,26,1,3,1,0,0,0,0,12,0,0,0.115,0.115,0.154,0.269
703," Sardinas, L",0.29,0.0143,BAL,2B,0.049,8,18,2,2,0,0,1,1,2,5,0,0,0.111,0.2,0.278,0.478
796," Cashner, A",0.29,0.0036,BAL,P,0.012,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
852," Hess, D",0.29,0.0054,BAL,P,0.019,3,2,2,0,0,0,0,0,1,0,0,0,0,0.333,0,0.333
923," Ramirez, Y",0.29,0.0018,BAL,P,0.006,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
953," Snelten, D",0.29,0.0072,BAL,P,0.025,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
980," Wright, Jr., D",0.29,0.0054,BAL,P,0.019,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013," Bleier, R",0.29,0.0036,BAL,P,0.012,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030," Castro, M",0.29,0.0054,BAL,P,0.019,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1071," Fry, P",0.29,0.0018,BAL,P,0.006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1077," Givens, M",0.29,0.0072,BAL,P,0.025,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1092," Hart, D",0.29,0.0018,BAL,P,0.006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1144," Meisinger, R",0.29,0.0018,BAL,P,0.006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1181," Phillips, E",0.29,0.0054,BAL,P,0.019,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1210," Scott, T",0.29,0.0036,BAL,P,0.012,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21," Porcello, R",0.667,0.0124,BOS,P,0.019,3,7,1,3,2,0,0,3,0,3,0,0,0.429,0.429,0.714,1.143
26," Betts, M",0.667,0.5600,BOS,RF,0.840,136,520,129,180,47,5,32,80,81,91,30,6,0.346,0.438,0.64,1.078
42," Martinez, J",0.667,0.6176,BOS,LF,0.926,150,569,111,188,37,2,43,130,69,146,6,1,0.33,0.402,0.629,1.031
97," Benintendi, A",0.667,0.6094,BOS,LF,0.914,148,579,103,168,41,6,16,87,71,106,21,3,0.29,0.366,0.465,0.83
100," Bogaerts, X",0.667,0.5600,BOS,SS,0.840,136,513,72,148,45,3,23,103,55,102,8,2,0.288,0.36,0.522,0.883
118," Pearce, S",0.667,0.3129,BOS,1B,0.469,76,215,35,61,14,1,11,42,29,41,0,0,0.284,0.378,0.512,0.89
135," Holt, B",0.667,0.4488,BOS,2B,0.673,109,321,41,89,18,2,7,46,37,73,7,7,0.277,0.362,0.411,0.774
197," Nunez, E",0.667,0.5229,BOS,2B,0.784,127,480,56,127,23,3,10,44,16,69,7,2,0.265,0.289,0.388,0.677
259," Ramirez, H",0.667,0.1812,BOS,1B,0.272,44,177,25,45,7,0,6,29,14,35,4,1,0.254,0.313,0.395,0.708
293," Johnson, B",0.667,0.0082,BOS,P,0.012,2,4,1,1,0,0,0,0,0,1,0,0,0.25,0.25,0.25,0.5
322," Lin, T",0.667,0.1523,BOS,SS,0.228,37,65,15,16,6,1,1,6,8,17,0,1,0.246,0.329,0.415,0.744
333," Moreland, M",0.667,0.5105,BOS,1B,0.765,124,404,57,99,23,4,15,68,50,102,2,0,0.245,0.325,0.433,0.758
353," Kinsler, I",0.667,0.5270,BOS,2B,0.790,128,487,66,117,26,0,14,48,40,64,16,7,0.24,0.301,0.38,0.681
